,gene_name,ID,event
658,ANKRD36C,EE87811,GAIN
659,ANKRD37,EE87811,HETD
660,ANKRD39,EE87811,GAIN
661,ANKRD40,EE87811,GAIN
662,ANKRD40CL,EE87811,GAIN
663,ANKRD42,EE87811,GAIN
664,ANKRD44,EE87811,HETD
665,ANKRD45,EE87811,HETD
666,ANKRD49,EE87811,GAIN
667,ANKRD50,EE87811,GAIN
668,ANKRD52,EE87811,GAIN
669,ANKRD53,EE87811,GAIN
670,ANKRD54,EE87811,HETD
671,ANKRD55,EE87811,GAIN
672,ANKRD6,EE87811,HETD
673,ANKRD60,EE87811,HETD
674,ANKRD62,EE87811,GAIN
675,ANKRD7,EE87811,GAIN
676,ANKS1A,EE87811,GAIN
677,ANKS1B,EE87811,GAIN
678,ANKS3,EE87811,GAIN
679,ANKS4B,EE87811,GAIN
680,ANKS6,EE87811,GAIN
681,ANKUB1,EE87811,GAIN
682,ANKZF1,EE87811,HETD
683,ANLN,EE87811,GAIN
684,ANO1,EE87811,GAIN
685,ANO10,EE87811,GAIN
686,ANO2,EE87811,GAIN
687,ANO3,EE87811,GAIN
688,ANO4,EE87811,GAIN
689,ANO5,EE87811,GAIN
690,ANO6,EE87811,GAIN
691,ANO7,EE87811,HETD
692,ANO8,EE87811,GAIN
693,ANO9,EE87811,HETD
694,ANOS1,EE87811,GAIN
695,ANP32A,EE87811,GAIN
696,ANP32B,EE87811,GAIN
697,ANP32D,EE87811,GAIN
698,ANP32E,EE87811,GAIN
699,ANPEP,EE87811,HETD
700,ANTKMT,EE87811,HETD
701,ANTXR1,EE87811,GAIN
702,ANTXR2,EE87811,GAIN
703,ANXA1,EE87811,GAIN
704,ANXA10,EE87811,HETD
705,ANXA11,EE87811,GAIN
706,ANXA13,EE87811,GAIN
707,ANXA2,EE87811,HETD
708,ANXA2R,EE87811,GAIN
709,ANXA3,EE87811,GAIN
710,ANXA4,EE87811,GAIN
711,ANXA5,EE87811,GAIN
712,ANXA6,EE87811,GAIN
713,ANXA7,EE87811,GAIN
714,ANXA8,EE87811,GAIN
715,ANXA8L1,EE87811,GAIN
716,ANXA9,EE87811,GAIN
717,AOC1,EE87811,GAIN
718,AOC2,EE87811,GAIN
719,AOC3,EE87811,GAIN
720,AOPEP,EE87811,GAIN
721,AOX1,EE87811,HETD
722,AP1AR,EE87811,GAIN
