sample,region-set,Dip_area,Dip_depth
EE88079,melano_SOX_clusters1863_2205_hg38,-0.01,-2.32
EE88079,HeLa_cluster1777_hg38,1.67,-1.68
EE88079,panc_adenoca_cluster1261_hg38,-1.55,1.49
EE88079,mammary_epithel_cluster2438_hg38,-0.17,0.14
EE88079,hematopoietic_specific_liquorice_hg38,0.93,-0.5
EE88079,skeletal_muscle_cluster1518_hg38,0.39,-0.48
EE88079,SAEC_hg38,-0.07,-0.24
EE88240,prostate_cluster2483_hg38,-0.17,-0.9
EE88240,hepatocyte_all_hg38,-0.55,0.26
EE88240,colon_cluster507_hg38,-0.82,-1.47
EE88240,A549_hg38,1.89,-1.56
EE88240,panc_epithel_cluster1974_hg38,0.08,-0.99
EE88240,HPF_lung_fibroblast_cluster1737_hg38,0.55,-0.53
EE88240,melano_SOX_clusters1863_2205_hg38,-0.03,-1.29
EE88240,HeLa_cluster1777_hg38,0.5,-0.87
EE88240,panc_adenoca_cluster1261_hg38,1.33,-0.43
EE88240,mammary_epithel_cluster2438_hg38,-0.28,-0.21
EE88240,hematopoietic_specific_liquorice_hg38,1.32,-1.36
EE88240,skeletal_muscle_cluster1518_hg38,0.16,-1.81
EE88240,SAEC_hg38,0.13,0.19
EE87846,prostate_cluster2483_hg38,-0.69,0.54
EE87846,hepatocyte_all_hg38,0.77,-0.4
EE87846,colon_cluster507_hg38,1.35,-0.69
EE87846,A549_hg38,-0.48,-0.16
EE87846,panc_epithel_cluster1974_hg38,0.67,-1.61
EE87846,HPF_lung_fibroblast_cluster1737_hg38,1.61,-1.13
EE87846,melano_SOX_clusters1863_2205_hg38,0.43,-1.24
EE87846,HeLa_cluster1777_hg38,1.44,-1.26
EE87846,panc_adenoca_cluster1261_hg38,-1.77,-0.38
EE87846,mammary_epithel_cluster2438_hg38,-0.72,-0.72
EE87846,hematopoietic_specific_liquorice_hg38,1.09,-3.46
EE87846,skeletal_muscle_cluster1518_hg38,-0.47,-1.13
