length,EE87920,EE88290,EE88291,EE88292,EE88293,EE88294,EE88295,EE88296,EE88297,EE88298,EE88299,EE88301,EE88302,EE88303,EE88304,EE88305,EE88306,EE88307,EE88308,EE88309,EE88310,EE88311,EE88312,EE88313,EE88314,EE88315,EE88316,EE88317,EE88318,EE88319,EE88320,EE88321,EE88322,EE88323,EE88324
208,189978,48978,67866,53770,67729,42137,49323,57097,45668,43943,40533,50028,57508,65179,35183,47464,41489,37212,55490,39921,30358,49364,70170,46064,77059,72925,40692,32190,68749,56720,55922,56479,35283,40811,56589
209,179164,46618,63969,50984,64088,39602,46539,53811,43200,41630,38477,47265,54114,61249,33455,44929,39138,35022,51849,37439,28208,46029,66338,43527,72468,69798,38207,30356,64504,53326,51795,52252,33189,38627,53466
210,169858,43000,60718,47807,60479,37508,43391,50865,40571,39304,35731,44637,51460,57462,30997,42044,37118,32783,48718,34681,26293,44527,62337,40568,69149,66438,36160,28109,61229,49521,49049,49408,31084,35540,50337
211,160070,39882,56931,44043,56817,35249,40178,47556,37026,36674,33125,41539,48095,53001,29111,39755,34184,30717,45162,32313,23941,41440,57814,38108,64177,62258,33187,26221,56757,46024,45412,45426,29267,32803,47427
212,150436,36351,52450,41084,52035,33134,37346,43877,34926,33873,31134,37950,44567,49309,26405,36566,32070,28034,41961,29782,22425,38634,53656,34973,59685,57836,30711,24187,53084,42664,41649,41991,26866,30252,43717
213,141368,32988,48804,37117,47830,30236,34428,40102,31705,31079,28492,34350,40300,45084,24697,33405,29132,25725,38202,27385,20305,35591,49179,32496,54697,53250,28286,21791,48714,39578,38557,37889,24507,27194,39645
214,133119,30399,44261,33749,43268,28084,31486,36540,28916,28655,25991,31414,36913,40935,22286,30192,26696,23549,35078,24792,18635,31982,44937,29518,50423,48387,25470,20187,45145,35896,35192,34563,22302,24898,36848
215,127392,27514,40545,31151,39927,26007,28897,33759,26671,26170,24128,28712,33577,37911,20390,28047,24651,21620,31822,22414,16861,29340,41317,26969,46069,44881,23344,18572,40937,32899,32342,31736,20408,22494,33280
216,120147,24812,38031,28468,36605,24385,27123,30845,24675,23961,22314,26548,31069,34801,19005,25659,22866,19661,29662,20635,15341,27206,38090,25014,42956,41299,21506,16781,38140,30109,29757,29059,18782,21351,30775
217,114356,23256,34564,26631,34024,22990,25572,28782,22768,22394,20993,23990,28733,32217,17401,23823,21528,18903,27366,19067,14461,25324,35551,23586,40257,38126,19673,15682,35268,28036,27465,26973,17368,19607,28548
